CBRO-2021 (Brazil),Aves Argentinas
Megascops alagoensis,
Megascops atricapilla,
Lophostrix cristata,
Pulsatrix perspicillata,
Pulsatrix koeniswaldiana,
Bubo virginianus,
Strix hylophila,
Strix virgata,
Strix huhula,
Glaucidium hardyi,
Glaucidium mooreorum,
Glaucidium minutissimum,
Glaucidium brasilianum,
Athene cunicularia,
Aegolius harrisii,
Asio clamator,
Asio stygius,
Asio flammeus,
Pharomachrus pavoninus,
Trogon melanurus,
Trogon viridis,
Trogon ramonianus,
Trogon surrucura,
Trogon violaceus,
Trogon curucui,
Trogon rufus,
Trogon muriciensis,
Trogon chrysochloros,
Trogon collaris,
Trogon personatus,
Electron platyrhynchum,
Baryphthengus martii,
Baryphthengus ruficapillus,
Momotus momota,
Megaceryle torquata,
Chloroceryle amazona,
Chloroceryle aenea,
Chloroceryle americana,
Chloroceryle inda,
Galbalcyrhynchus leucotis,
Galbalcyrhynchus purusianus,
Brachygalba albogularis,
Brachygalba lugubris,
Jacamaralcyon tridactyla,
Galbula albirostris,
Galbula cyanicollis,
Galbula ruficauda,
Galbula galbula,
Galbula tombacea,
Galbula cyanescens,
Galbula chalcothorax,
Galbula leucogastra,
Galbula dea,
Jacamerops aureus,
Chelidoptera tenebrosa,
Monasa atra,
Monasa morphoeus,
Monasa nigrifrons,
Monasa flavirostris,
Nonnula ruficapilla,
Nonnula amaurocephala,
Nonnula sclateri,
Nonnula rubecula,
Malacoptila fusca,
Malacoptila semicincta,
Malacoptila minor,
Malacoptila striata,
Malacoptila rufa,
Micromonacha lanceolata,
Notharchus tectus,
Notharchus hyperrhynchus,
Notharchus swainsoni,
Notharchus macrorhynchos,
Notharchus ordii,
Cyphos macrodactylus,
Tamatia tamatia,
Bucco capensis,
Nystalus maculatus,
Nystalus striatipectus,
Nystalus obamai,
Nystalus striolatus,
Nystalus torridus,
Nystalus chacuru,
Capito aurovirens,
Capito dayi,
Capito brunneipectus,
Capito niger,
Capito auratus,
Eubucco richardsoni,
Eubucco tucinkae,
Ramphastos toco,
Ramphastos tucanus,
Ramphastos vitellinus,
Ramphastos dicolorus,
Aulacorhynchus atrogularis,
Aulacorhynchus whitelianus,
Selenidera piperivora,
Selenidera reinwardtii,
Selenidera nattereri,
Selenidera gouldii,
Selenidera maculirostris,
Pteroglossus bailloni,
Pteroglossus viridis,
Pteroglossus inscriptus,
Pteroglossus aracari,
Pteroglossus castanotis,
Pteroglossus pluricinctus,
Pteroglossus azara,
Pteroglossus flavirostris,
Pteroglossus mariae,
Pteroglossus beauharnaisii,
Pteroglossus bitorquatus,
Picumnus aurifrons,
Picumnus pumilus,
Picumnus lafresnayi,
Picumnus undulatus,
Picumnus buffonii,
Picumnus pernambucensis,
Picumnus exilis,
Picumnus spilogaster,
Picumnus limae,
Picumnus pygmaeus,
Picumnus varzeae,
Picumnus cirratus,
Picumnus temminckii,
Picumnus albosquamatus,
Picumnus fuscus,
Picumnus rufiventris,
Picumnus nebulosus,
Picumnus castelnau,
Picumnus subtilis,
Melanerpes candidus,
Melanerpes cruentatus,
Melanerpes flavifrons,
Melanerpes cactorum,
Veniliornis kirkii,
Veniliornis cassini,
Veniliornis affinis,
Veniliornis maculifrons,
Veniliornis passerinus,
Veniliornis spilogaster,
Veniliornis mixtus,
Campephilus rubricollis,
Campephilus robustus,
Campephilus melanoleucos,
Campephilus leucopogon,
Dryocopus lineatus,
Celeus torquatus,
Celeus galeatus,
Celeus undatus,
Celeus flavus,
Celeus spectabilis,
Celeus obrieni,
Celeus ochraceus,
Celeus elegans,
Celeus lugubris,
Celeus flavescens,
Piculus leucolaemus,
Piculus flavigula,
Piculus capistratus,
Piculus laemostictus,
Piculus paraensis,
Piculus chrysochloros,
Piculus polyzonus,
Piculus aurulentus,
Colaptes rubiginosus,
Colaptes punctigula,
Colaptes melanochloros,
Colaptes campestris,
Cariama cristata,
Herpetotheres cachinnans,
Micrastur ruficollis,
Micrastur gilvicollis,
Micrastur mintoni,
Micrastur mirandollei,
Micrastur semitorquatus,
Micrastur buckleyi,
Caracara plancus,
Ibycter americanus,
Daptrius ater,
Milvago chimachima,
Milvago chimango,
Falco tinnunculus,
Falco sparverius,
Falco columbarius,
Falco aesalon,
Falco rufigularis,
Falco deiroleucus,
Falco femoralis,
Falco peregrinus,
Touit huetii,
Touit purpuratus,
Touit melanonotus,
Touit surdus,
Nannopsittaca panychlora,
Nannopsittaca dachilleae,
Myiopsitta monachus,
Brotogeris sanctithomae,
Brotogeris tirica,
Brotogeris versicolurus,
Brotogeris chiriri,
Brotogeris cyanoptera,
Brotogeris chrysoptera,
Pionopsitta pileata,
Triclaria malachitacea,
Pyrilia barrabandi,
Pyrilia caica,
Pyrilia aurantiocephala,
Pyrilia vulturina,
Pionus fuscus,
Pionus maximiliani,
Pionus menstruus,
Pionus reichenowi,
Graydidascalus brachyurus,
Alipiopsitta xanthops,
Amazona festiva,
Amazona vinacea,
Amazona pretrei,
Amazona autumnalis,
Amazona dufresniana,
Amazona rhodocorytha,
Amazona ochrocephala,
Amazona aestiva,
Amazona farinosa,
Amazona kawalli,
Amazona brasiliensis,
Amazona amazonica,
Forpus modestus,
Forpus sclateri,
Forpus xanthopterygius,
Forpus passerinus,
Pionites melanocephalus,
Pionites leucogaster,
Deroptyus accipitrinus,
Pyrrhura cruentata,
Pyrrhura devillei,
Pyrrhura frontalis,
Pyrrhura anerythra,
Pyrrhura coerulescens,
Pyrrhura perlata,
Pyrrhura molinae,
Pyrrhura griseipectus,
Pyrrhura leucotis,
Pyrrhura pfrimeri,
Pyrrhura picta,
Pyrrhura amazonum,
Pyrrhura pallescens,
Pyrrhura lucianii,
